edad,peso,altura,horas,objetivo,animo,nivel
15,49,183,6,3,3,1
23,120,172,7,0,0,1
44,118,159,4,3,4,0
20,81,173,1,2,0,0
26,51,163,7,0,3,1
63,115,183,10,1,4,1
33,110,178,1,3,2,0
29,106,196,3,0,0,1
31,89,157,8,0,4,1
46,111,154,9,2,0,1
23,64,157,10,1,0,2
36,92,173,4,3,4,0
62,101,192,6,1,0,1
46,60,160,8,2,3,1
29,66,175,9,1,1,2
53,116,175,2,2,4,0
30,58,174,8,3,2,1
34,88,169,7,3,3,1
52,83,185,3,3,3,1
30,79,162,8,2,3,1
17,46,182,10,0,1,1
70,118,158,10,2,4,1
23,47,167,6,0,3,1
20,77,168,10,2,4,1
37,110,151,5,0,2,0
26,49,158,6,0,1,1
41,110,199,8,0,3,1
24,92,184,10,1,1,2
41,48,193,3,2,0,0
40,106,192,6,1,1,1
28,110,161,4,2,3,1
39,87,178,9,3,4,1
57,79,154,4,2,3,0
28,89,151,4,2,4,1
42,69,165,3,0,2,1
44,98,197,8,2,1,1
45,116,200,3,1,2,1
57,111,198,3,3,2,0
46,71,187,1,2,1,0
49,59,171,5,3,4,1
59,83,183,7,2,3,1
16,88,179,8,3,4,1
44,106,171,6,3,0,1
68,111,199,6,1,4,1
23,114,162,6,2,0,1
28,50,189,6,2,3,1
31,51,167,4,1,1,1
47,94,171,8,1,3,1
40,64,151,9,0,1,1
20,77,178,7,3,4,2
34,56,198,5,0,3,1
37,108,164,3,2,4,0
27,62,200,7,0,0,1
18,115,189,5,0,3,1
66,68,198,10,0,0,1
41,81,176,6,3,3,1
47,45,173,3,2,0,0
54,103,159,3,1,4,1
58,73,159,8,2,2,1
63,113,154,10,3,1,1
58,97,165,1,2,0,0
53,73,169,10,3,2,1
43,73,154,10,1,1,1
47,101,193,6,3,1,1
69,92,155,8,3,4,1
32,45,193,9,3,0,1
64,67,162,2,1,2,1
19,53,192,3,3,0,1
46,88,174,2,1,2,0
25,101,191,2,3,4,0
26,76,159,6,1,2,2
46,60,200,4,0,1,0
18,62,162,6,2,2,2
59,85,195,7,2,1,1
35,63,157,9,3,1,2
46,110,161,3,1,2,1
37,102,153,4,0,1,0
25,97,174,10,0,1,1
16,117,192,5,3,1,0
65,118,179,7,0,1,1
35,69,169,7,2,2,2
52,60,152,2,1,4,1
59,86,167,10,2,2,1
67,49,196,9,2,3,1
56,78,156,7,3,1,1
55,78,196,10,2,2,1
58,106,200,9,0,2,1
70,116,169,9,2,1,1
52,93,189,5,2,1,1
45,56,182,3,2,0,0
33,61,192,8,0,1,1
53,50,190,7,1,0,1
54,57,195,7,3,1,1
26,91,174,1,1,3,1
47,90,168,2,2,1,0
17,95,175,3,2,4,0
31,47,177,3,2,0,1
29,82,199,8,3,3,2
32,90,187,6,1,1,2
27,117,179,4,3,3,1
26,98,179,8,1,4,2
23,112,160,6,1,4,2
69,62,156,6,3,3,1
62,77,173,9,1,3,2
49,56,151,9,2,2,1
22,79,173,8,1,4,2
31,80,162,5,0,2,1
38,45,183,7,0,4,1
38,104,194,7,3,3,1
39,45,176,3,2,4,0
37,111,157,1,1,0,0
27,109,159,4,1,2,1
62,49,183,4,2,3,0
15,77,174,7,3,0,1
70,58,170,6,0,3,1
24,60,152,1,2,1,1
59,76,183,4,0,1,1
33,47,161,1,2,4,0
42,105,179,3,3,1,0
57,56,166,5,1,0,1
16,63,173,1,2,3,0
52,51,163,4,3,3,0
26,53,171,1,2,3,0
65,76,185,2,0,4,0
16,68,184,4,2,2,1
34,85,155,2,1,3,1
19,69,153,4,2,3,1
45,45,168,9,3,3,1
64,67,179,6,0,0,1
44,81,174,10,3,2,1
22,100,174,3,0,3,1
21,99,198,9,3,0,2
19,115,191,10,1,0,2
40,87,193,2,3,4,0
70,84,169,7,3,2,1
70,82,175,10,1,1,2
28,102,153,7,1,1,2
22,53,199,3,3,3,1
18,73,191,9,2,0,2
26,57,161,7,3,0,2
20,95,181,2,1,3,1
68,118,193,9,0,4,1
62,80,184,8,2,2,1
17,58,191,10,2,3,1
62,56,183,1,3,2,0
20,96,186,3,0,0,1
19,60,168,5,1,2,2
27,67,159,4,0,2,1
65,75,196,7,0,3,1
65,91,151,6,3,2,1
17,89,161,10,2,4,1
51,45,173,7,3,0,1
15,48,192,6,3,3,1
27,117,191,7,1,4,2
24,55,178,10,3,3,1
70,119,175,4,0,0,0
34,51,157,5,2,4,1
66,46,193,1,3,2,0
41,113,155,1,2,1,0
58,106,156,10,2,0,1
69,102,180,8,2,3,1
22,54,161,5,0,2,1
23,60,160,2,2,1,1
64,83,176,8,1,2,2
45,69,166,2,2,1,0
18,103,164,5,0,2,1
39,46,196,8,3,4,1
45,109,190,9,0,2,1
59,82,168,1,2,0,0
22,110,158,7,1,0,2
56,90,179,8,3,4,1
25,80,162,5,3,4,1
18,61,163,3,1,3,2
62,105,165,3,2,2,0
15,90,193,1,1,4,1
27,90,198,9,3,0,2
69,64,200,8,2,2,1
67,82,174,10,0,4,1
55,87,195,7,0,2,1
37,106,175,6,0,0,1
19,69,152,9,0,1,1
45,99,160,2,0,3,0
26,70,170,3,0,3,1
38,87,154,1,0,0,0
51,65,178,10,1,3,2
21,47,181,9,0,0,1
65,90,155,3,1,3,1
33,90,166,4,1,4,1
30,104,179,9,0,2,1
63,100,182,4,0,4,0
65,106,191,1,0,0,0
53,64,150,3,2,1,0
31,45,191,9,0,4,1
20,50,182,1,2,0,0
24,66,158,1,2,1,1
65,97,176,3,1,3,1
33,69,160,10,2,4,2
33,120,192,3,3,3,1
44,87,156,1,3,0,0
52,72,150,1,1,4,0
59,68,180,1,2,4,0
69,63,195,2,3,1,0
35,115,158,2,0,1,0
22,85,179,4,1,0,2
40,72,166,5,2,4,1
33,88,181,4,2,0,1
50,86,180,5,1,4,1
32,74,170,5,2,0,1
46,53,194,7,1,0,1
40,66,178,6,1,2,2
53,62,158,3,1,3,1
56,61,171,9,2,2,1
32,105,195,9,2,3,1
38,120,181,3,1,3,1
62,87,188,1,3,1,0
43,96,169,6,1,2,1
15,94,183,2,0,2,0
37,76,182,4,0,4,1
43,54,200,3,0,0,0
38,113,173,4,1,1,1
35,51,198,7,0,0,1
69,87,174,4,3,4,0
67,115,199,4,0,2,0
54,75,170,9,2,0,1
56,95,199,3,3,3,1
19,66,188,6,0,4,1
57,61,162,6,1,2,2
29,93,161,4,1,0,1
19,118,194,3,2,1,1
66,57,159,9,2,0,1
43,95,180,2,3,3,0
43,97,197,4,3,3,1
69,49,154,1,3,4,0
25,77,162,7,1,3,2
19,77,163,3,1,0,1
69,62,157,2,3,4,0
52,72,192,4,0,2,0
55,96,196,5,2,4,1
44,77,180,1,1,0,1
29,49,163,10,2,0,1
61,61,179,1,2,3,0
27,51,166,7,1,3,2
29,106,154,4,0,4,1
20,87,177,10,0,0,1
32,92,152,6,0,3,1
42,109,181,1,2,3,0
68,60,151,4,0,4,1
27,75,158,3,0,4,1
22,113,158,2,2,2,0
63,108,162,6,3,3,1
20,75,169,4,1,1,2
21,49,200,10,1,2,2
20,70,182,1,3,4,1
21,47,157,5,2,4,1
67,63,184,10,1,0,1
67,97,160,7,2,2,1
61,79,171,6,2,4,1
56,48,181,5,1,1,1
58,62,175,7,1,4,2
63,46,165,3,1,0,1
32,50,180,6,0,0,1
39,67,174,5,3,1,1
48,76,170,2,0,0,0
42,64,187,4,0,2,0
28,57,194,1,0,2,0
58,74,193,8,1,3,1
54,72,169,6,2,2,1
59,94,174,9,2,1,1
35,88,185,4,2,3,1
25,108,169,10,3,3,1
55,59,162,10,3,0,1
57,51,150,1,1,4,1
63,51,191,6,1,3,1
37,76,169,10,0,4,1
70,85,164,1,3,3,0
35,81,175,5,0,1,1
37,119,152,8,3,1,1
16,83,167,9,0,1,1
31,81,164,5,2,2,1
58,78,167,10,0,3,1
64,89,183,10,2,3,1
47,48,175,3,2,3,0
41,71,161,8,2,3,1
46,107,183,7,3,1,1
62,72,153,5,3,3,0
57,108,166,2,3,1,0
49,101,157,6,1,4,1
46,78,181,10,1,2,2
57,88,160,9,0,1,1
34,60,158,10,0,3,2
24,88,169,2,3,2,0
25,114,159,4,0,3,1
53,79,195,9,0,0,1
38,80,157,1,2,4,0
61,113,172,4,0,4,0
21,69,199,6,0,1,1
15,117,175,7,0,0,1
68,81,177,2,3,4,0
32,105,196,2,1,2,1
26,101,185,3,1,3,1
60,50,180,2,3,4,0
37,120,177,4,2,0,0
35,99,188,6,1,2,2
69,98,197,7,2,1,1
34,51,196,2,0,3,0
43,80,156,9,2,0,1
70,60,166,7,1,3,2
30,68,170,3,2,2,1
58,104,199,7,1,2,2
19,54,174,6,3,3,1
16,60,174,1,1,1,0
67,107,150,1,0,1,0
41,59,198,4,1,2,1
56,78,161,10,0,4,1
43,76,181,1,0,4,0
46,62,177,4,3,1,0
51,99,189,2,0,2,0
22,58,160,8,0,1,2
24,50,183,3,1,3,1
69,78,176,5,3,0,1
59,95,163,6,2,2,1
40,96,151,6,1,4,1
34,64,186,7,1,4,2
62,101,192,4,1,4,1
48,63,197,3,3,2,0
26,95,194,4,3,4,1
24,60,178,5,2,0,1
55,52,151,2,3,3,0
58,54,184,3,0,1,0
22,65,186,8,0,0,1
20,76,166,3,3,3,1
44,118,179,9,0,1,1
26,54,164,1,0,1,1
30,45,154,9,0,2,1
54,47,179,7,2,3,1
53,85,199,3,2,3,1
23,55,187,5,3,2,1
44,114,175,8,2,4,1
50,95,152,9,2,0,1
27,64,196,10,1,1,2
38,79,153,5,2,1,0
63,96,175,6,1,2,1
53,110,180,6,1,0,1
65,84,185,8,0,2,1
42,92,157,8,3,4,1
45,94,162,3,0,1,0
28,89,199,10,0,3,2
30,120,179,6,1,3,2
67,74,196,8,1,0,1
25,50,151,10,1,4,2
56,77,195,9,3,3,1
30,74,165,7,1,0,2
15,81,179,7,1,0,2
45,63,156,5,2,0,1
54,110,178,1,2,3,0
39,67,150,1,1,4,0
52,63,177,2,2,1,0
60,62,165,10,1,4,2
68,87,186,6,0,0,1
52,103,191,1,0,3,0
39,109,166,10,0,1,1
41,60,198,4,1,0,1
50,64,190,1,0,1,0
25,85,185,7,0,2,2
29,85,154,9,2,2,1
67,50,198,8,0,2,1
66,86,158,8,3,1,1
61,107,170,10,3,4,1
59,77,156,10,2,0,1
51,56,151,7,2,3,1
29,52,168,7,2,0,1
55,118,163,6,2,2,1
70,109,198,8,3,0,1
51,91,162,8,0,4,1
42,55,183,6,1,3,1
35,98,189,2,0,1,0
60,54,162,3,1,2,1
38,102,191,10,3,2,1
39,54,169,7,1,3,1
30,117,186,2,1,3,1
20,110,190,2,0,0,0
52,55,198,1,0,0,0
37,73,158,9,3,1,1
59,45,171,3,2,4,0
15,119,180,3,1,0,1
55,57,193,9,1,0,1
40,56,187,6,0,3,1
55,91,155,10,1,0,1
54,116,168,4,2,2,0
38,76,162,10,0,3,1
65,45,179,2,1,3,0
16,80,155,5,2,2,0
33,74,163,3,0,4,1
65,72,159,2,0,0,0
27,113,178,9,2,2,1
60,85,165,9,0,4,1
64,74,164,1,3,3,0
19,97,181,5,3,0,1
33,88,159,5,0,0,1
15,81,154,4,0,0,0
27,63,167,3,2,2,1
18,55,151,8,1,4,2
28,61,154,1,2,2,1
15,79,186,9,1,2,2
23,73,177,3,1,4,2
52,97,163,5,1,2,1
15,114,198,6,2,2,1
32,104,171,6,0,0,1
32,106,171,9,3,4,1
42,90,171,9,2,4,1
68,102,185,9,3,3,1
62,81,159,7,0,1,1
53,96,193,3,3,3,1
30,82,152,6,2,3,1
32,119,166,6,0,4,1
34,84,189,8,1,4,2
31,101,196,1,0,4,1
43,99,164,5,0,3,0
47,91,159,8,2,3,1
26,108,183,1,3,1,0
23,58,150,9,0,3,2
29,49,157,9,2,0,1
44,107,185,5,2,3,0
21,78,154,6,3,4,1
37,73,200,7,2,2,1
29,104,175,10,1,1,2
22,113,189,7,1,4,2
63,106,150,7,3,1,1
59,114,163,5,0,2,0
46,116,182,8,1,4,1
64,107,198,1,1,4,0
28,111,196,3,2,0,1
42,89,161,10,0,0,1
56,64,169,10,1,3,2
53,105,173,1,0,2,0
50,61,196,7,3,1,1
59,98,152,3,2,3,0
48,74,161,2,1,1,0
55,115,186,1,2,3,0
49,81,158,2,0,1,0
45,50,198,2,1,0,0
26,45,155,2,3,2,0
53,106,199,4,0,4,1
62,59,195,1,3,3,0
23,91,189,10,0,1,2
46,119,199,8,0,4,1
68,97,176,3,1,1,1
37,58,166,1,0,3,0
69,103,166,4,2,2,0
25,118,197,6,0,3,1
61,88,200,9,2,3,1
47,93,172,6,2,3,1
70,71,198,4,3,3,0
32,73,150,6,0,1,1
53,86,198,8,0,0,1
42,52,156,8,1,4,2
22,99,192,8,0,4,2
69,84,198,5,2,1,1
58,85,195,10,1,3,2
63,67,185,7,0,2,1
20,106,180,2,3,0,0
35,82,158,4,1,1,1
23,54,176,7,0,4,1
27,93,196,5,2,4,1
62,113,165,1,0,0,0
27,79,154,6,0,4,1
53,115,171,9,2,3,1
60,90,181,3,0,1,0
42,47,183,9,1,4,1
19,101,163,8,0,2,1
25,115,176,9,0,3,1
28,109,193,5,1,4,1
16,97,177,9,0,1,1
43,45,184,1,1,4,0
36,92,183,4,3,3,0
57,48,162,7,2,3,1
34,80,175,2,1,2,1
28,83,179,9,1,1,2
44,89,167,10,2,0,1
22,62,182,7,0,4,1
59,48,191,9,0,4,1
29,112,173,2,1,1,1
62,59,199,5,1,0,1
68,50,175,4,3,1,0
50,72,183,9,0,2,1
28,59,159,2,0,3,1
26,85,156,8,3,4,1
19,110,160,7,1,0,2
66,53,161,3,3,4,1
67,83,182,9,3,4,1
22,59,187,2,3,3,0
38,99,176,10,0,4,1
59,59,182,8,3,4,1
20,60,172,8,3,2,2
66,62,177,4,1,1,1
26,120,150,2,1,3,1
31,72,173,8,0,2,2
64,52,164,3,1,3,1
42,98,177,1,0,4,0
21,92,162,7,1,4,2
22,74,192,6,1,1,2
25,71,176,7,2,3,2
40,103,178,3,1,3,1
45,71,170,1,1,2,1
49,57,150,5,2,2,1
46,107,176,9,1,4,1
66,107,180,2,2,1,0
41,50,188,6,1,0,1
59,79,154,3,1,1,1
68,115,159,6,2,2,1
17,58,192,8,2,1,1
57,47,180,10,1,4,1
19,108,169,3,1,4,1
70,64,196,5,0,3,0
62,88,185,5,1,0,1
20,96,175,9,1,2,2
56,68,151,4,1,3,1
39,114,189,1,3,2,0
19,87,171,5,0,3,1
69,110,176,9,3,0,1
59,45,176,9,1,0,1
26,99,175,6,3,1,1
20,117,182,5,3,2,1
36,58,179,2,1,0,0
23,52,155,4,3,3,1
29,92,200,3,0,0,1
46,70,193,2,3,0,0
46,54,195,10,2,2,1
60,45,173,9,2,3,1
45,88,169,7,3,2,1
16,87,198,7,0,3,1
42,51,150,10,1,4,2
30,102,189,3,1,1,1
18,49,176,1,3,3,0
31,96,178,1,3,4,0
33,49,163,5,3,0,1
47,61,156,9,2,1,1
48,111,152,10,0,3,1
65,96,183,9,2,2,1
19,120,199,9,3,4,1
22,46,184,5,2,4,1
25,90,173,2,2,0,0
34,90,166,8,2,3,1
48,75,192,2,2,2,0
52,74,151,7,1,3,1
49,62,184,2,2,2,0
40,82,178,2,3,3,0
50,119,193,4,1,4,1
36,99,187,9,1,1,1
62,66,194,3,2,0,0
38,78,155,4,0,1,0
41,78,163,8,2,4,1
58,76,193,1,3,4,0
52,45,172,1,2,2,0
56,67,169,10,3,4,1
60,46,166,1,3,2,0
68,67,172,9,2,0,1
60,66,177,2,1,2,1
41,83,185,2,3,2,0
46,56,180,5,2,3,0
56,89,163,10,2,4,1
15,64,195,2,0,1,0
25,87,179,2,1,3,1
61,97,177,4,2,3,0
16,92,156,4,3,3,0
23,106,164,4,0,4,1
63,114,190,9,2,0,1
49,116,190,8,1,4,1
65,56,184,1,3,2,0
64,90,182,3,1,4,1
53,51,151,9,3,4,1
23,104,158,5,1,0,1
54,71,175,10,3,2,1
31,88,181,9,1,1,2
70,51,171,1,0,0,0
20,69,166,7,2,3,2
34,62,183,9,1,4,2
42,63,170,3,0,3,1
55,61,157,1,3,3,0
62,85,187,6,0,4,1
24,52,162,9,0,2,1
38,88,197,2,0,1,0
48,63,150,9,2,1,1
60,76,199,1,0,4,0
51,112,161,9,0,3,1
33,90,155,3,0,0,1
42,95,151,7,3,2,1
49,54,190,3,0,3,0
36,89,153,2,3,0,0
46,71,161,5,3,3,0
61,117,155,7,3,3,1
21,115,171,3,1,4,1
56,58,154,6,2,0,1
16,49,155,9,1,3,2
42,118,182,6,2,1,1
49,45,176,9,3,0,1
29,116,150,3,0,4,1
47,75,177,8,3,3,1
63,119,192,7,2,1,1
54,54,191,6,0,3,1
22,106,167,3,0,0,1
24,109,160,4,1,3,1
63,65,180,10,0,2,1
56,117,170,8,0,4,1
37,84,189,6,0,2,1
34,66,151,10,2,3,1
19,119,194,4,1,1,1
36,120,160,8,2,3,1
24,77,189,1,0,4,1
61,61,180,5,1,0,1
51,64,190,9,3,3,1
66,81,159,9,3,2,1
55,61,151,7,2,3,1
19,96,199,1,0,2,1
46,118,170,7,3,4,1
21,82,195,8,2,1,2
70,63,159,2,0,0,0
21,67,186,4,3,2,1
26,62,167,6,3,3,2
56,102,193,5,2,0,0
33,86,196,7,1,1,2
63,76,159,6,2,3,1
64,94,178,7,2,2,1
57,83,196,5,0,4,1
33,102,180,9,2,4,1
58,49,197,3,1,1,1
21,79,191,8,2,4,2
19,77,170,5,1,0,2
67,82,175,4,2,3,1
41,47,159,7,2,1,1
16,52,172,3,0,4,0
29,45,161,7,0,3,1
68,87,172,10,2,0,1
27,105,168,1,3,2,0
58,62,179,5,1,4,1
28,118,152,1,3,1,0
44,86,154,4,2,3,0
42,97,182,5,2,4,0
26,71,188,8,2,2,2
42,67,195,6,1,1,1
36,84,198,5,0,1,1
66,105,163,1,1,0,0
16,80,200,10,2,1,1
58,53,180,4,1,4,1
39,83,150,6,2,0,1
44,93,178,1,3,1,0
23,62,185,7,3,3,1
29,71,170,1,1,1,1
28,80,152,5,3,3,1
27,86,193,6,0,2,2
50,56,174,4,1,4,1
36,81,182,10,0,2,1
70,93,168,3,0,3,0
46,114,199,4,1,0,1
30,112,152,3,1,3,1
28,79,193,3,1,4,2
61,64,186,1,0,4,0
44,77,178,2,0,1,0
60,49,172,7,2,3,1
15,86,171,3,2,2,0
61,65,186,4,2,1,0
43,115,196,6,2,4,1
55,120,186,2,3,0,0
38,83,183,8,2,1,1
32,75,184,3,2,3,1
68,92,153,5,2,0,0
47,102,172,3,3,3,0
62,87,192,4,3,4,1
37,64,163,8,2,1,1
24,112,192,2,2,2,0
31,76,162,10,0,0,1
65,118,173,8,2,3,1
37,108,195,10,2,0,1
34,103,153,10,1,0,2
32,55,162,2,1,2,1
25,112,181,5,2,0,1
41,83,190,9,3,2,1
40,49,168,9,3,4,1
59,99,177,8,3,3,1
26,80,160,10,0,4,1
15,120,154,3,3,3,0
62,80,169,10,1,0,1
34,94,150,8,2,2,1
25,49,153,1,1,0,1
68,77,160,1,2,1,0
43,60,199,8,3,2,1
38,53,176,1,1,3,0
57,84,158,2,3,1,0
67,106,172,3,0,2,0
21,59,179,8,3,3,1
46,108,160,3,3,3,0
69,88,179,9,0,4,1
60,49,152,8,0,2,1
55,72,173,6,2,1,1
59,101,190,2,1,2,0
56,104,177,7,2,1,1
43,87,169,4,0,3,0
48,51,193,2,2,1,0
33,115,164,2,2,3,0
36,53,176,2,2,3,0
42,57,159,9,0,2,1
33,51,197,1,3,4,0
21,57,183,8,1,2,2
22,115,157,2,3,2,0
38,70,187,9,0,2,1
61,101,163,9,0,3,1
18,110,152,2,0,1,0
60,46,170,6,3,1,1
40,47,188,2,3,3,0
63,91,178,1,2,3,0
43,104,181,2,2,1,0
57,84,172,4,3,1,0
42,103,176,3,3,1,0
51,78,185,7,0,4,1
60,68,176,9,2,1,1
20,72,157,5,0,0,1
60,72,165,4,3,0,1
22,89,199,8,2,0,2
44,82,195,5,0,4,1
46,63,161,2,3,1,0
21,62,166,5,0,2,1
42,92,183,2,2,1,0
60,108,166,6,2,0,1
70,69,196,8,2,3,1
29,84,182,3,1,4,2
33,55,153,7,2,2,2
18,48,172,10,3,1,1
56,100,169,2,2,4,0
65,64,160,7,3,1,1
25,51,185,5,0,0,1
17,71,183,6,0,1,1
31,63,168,4,2,4,1
36,48,195,4,1,0,1
32,87,186,1,2,1,1
21,61,183,4,2,3,1
29,84,168,8,0,2,1
70,90,195,2,3,2,0
40,97,185,6,0,2,1
17,101,193,3,2,0,0
41,92,150,10,0,1,1
45,72,185,6,3,1,1
35,70,177,8,1,0,2
20,71,182,7,1,0,2
20,112,191,5,1,1,1
18,118,169,5,2,1,1
51,48,191,2,2,4,0
51,100,182,3,1,0,1
44,107,194,8,3,4,1
51,88,153,9,3,4,1
21,85,156,2,2,2,0
56,68,168,3,0,3,1
27,105,182,10,0,3,1
52,84,158,9,0,1,1
56,87,194,9,3,4,1
29,96,167,3,0,2,1
44,69,173,7,3,0,1
50,90,181,5,0,2,0
35,96,174,1,2,1,0
32,77,174,5,2,2,1
47,56,193,10,1,3,1
60,111,173,10,2,1,1
53,93,170,6,1,2,1
67,50,188,9,2,2,1
16,119,195,3,0,0,0
45,87,191,5,2,0,1
70,48,156,7,1,4,1
68,58,150,5,3,4,1
31,107,161,5,2,4,1
31,64,162,4,1,3,2
67,53,198,6,2,3,1
60,52,166,9,0,3,1
50,59,185,4,1,1,1
69,81,199,8,1,3,2
24,98,190,4,0,0,1
48,83,163,1,1,3,0
46,86,182,8,3,1,1
24,96,153,9,2,3,1
27,67,184,2,3,3,0
36,112,175,8,3,3,1
61,55,152,9,0,2,1
41,52,178,1,1,4,0
25,53,151,3,3,4,1
35,115,174,3,0,3,1
23,100,184,5,1,3,1
54,111,187,10,1,1,1
20,100,176,5,1,2,1
19,63,170,10,0,2,2
34,103,161,10,1,0,2
37,103,188,9,2,0,1
62,60,184,1,3,4,0
28,100,198,3,1,2,2
32,66,177,1,0,1,1
26,102,196,3,3,2,1
48,48,173,5,2,3,0
54,50,193,10,0,4,1
43,82,194,3,3,4,1
47,93,164,10,1,2,1
30,77,193,8,2,2,2
36,86,191,1,1,1,1
20,73,187,8,1,1,2
38,119,170,2,2,2,0
25,107,200,3,2,4,1
67,117,167,6,1,4,1
61,81,182,2,3,0,0
50,95,175,1,3,2,0
35,69,164,2,3,3,1
40,103,198,10,2,0,1
27,90,152,7,1,2,2
20,71,194,1,1,4,1
44,84,155,7,1,2,1
43,52,156,6,1,2,2
70,62,166,5,0,2,1
58,51,150,5,1,1,1
48,70,183,6,1,3,2
43,103,189,6,1,0,1
22,109,159,10,2,0,1
68,119,162,5,2,4,0
38,59,152,9,3,1,1
61,66,156,10,3,0,1
62,97,193,6,1,0,2
18,82,163,10,3,3,1
24,85,173,8,3,4,1
60,63,150,7,0,0,1
24,46,178,2,2,4,0
55,120,176,7,2,3,1
24,115,157,9,1,3,2
39,69,169,1,0,0,0
59,76,198,10,0,1,1
18,104,173,8,0,3,1
70,97,159,5,3,4,0
23,75,161,10,0,2,1
69,94,165,4,2,3,0
31,69,182,6,2,1,2
48,52,176,10,3,3,1
43,84,194,4,2,2,1
31,81,186,1,0,1,1
50,119,175,6,2,3,1
42,84,195,1,2,4,0
63,54,199,3,0,3,0
67,71,168,4,3,3,1
34,53,172,3,2,4,1
23,57,163,4,3,1,1
19,88,160,1,3,1,0
28,50,161,9,0,2,1
55,51,194,2,0,4,0
52,92,150,9,3,2,1
32,114,176,4,3,0,1
45,52,169,3,1,2,1
43,72,172,6,1,4,2
62,47,170,8,0,1,1
30,49,191,7,0,1,1
25,117,184,10,1,2,2
48,95,167,2,0,1,0
62,51,179,7,3,2,1
32,87,177,8,0,0,1
54,110,192,10,2,4,1
70,64,189,10,2,4,1
48,103,160,7,3,2,1
64,57,176,2,1,3,0
57,105,155,5,1,0,1
29,114,173,2,2,0,0
39,93,152,8,1,4,1
52,81,157,4,1,0,1
51,60,171,4,0,2,1
17,111,179,8,2,4,1
45,110,168,5,0,3,0
39,102,162,3,0,2,0
62,64,159,10,0,2,1
42,63,150,10,0,1,1
55,68,155,1,0,0,0
21,90,164,10,3,1,1
30,69,167,8,2,1,2
32,87,163,6,1,1,2
56,81,195,1,0,2,0
37,88,176,10,3,3,1
58,88,160,8,2,2,1
56,93,190,8,1,2,2
59,95,154,8,2,1,1
21,51,174,6,1,3,2
47,113,181,4,3,4,0
21,108,185,4,0,2,1
36,78,190,3,3,4,1
25,70,174,8,3,2,2
23,53,173,3,3,0,1
18,94,169,1,3,2,0
43,64,192,8,3,2,1
52,63,165,1,1,0,1
53,68,191,1,0,3,0
44,66,182,2,2,4,0
44,76,199,7,3,3,1
44,103,180,5,3,3,0
18,59,155,6,1,2,2
39,116,180,9,3,3,1
36,119,168,9,2,2,1
35,51,151,4,2,2,1
31,65,191,1,1,1,1
20,46,153,1,0,2,0
28,85,170,9,2,4,1
68,94,190,10,3,0,1
23,46,187,10,0,0,1
20,51,176,6,3,0,1
18,81,155,2,0,4,0
67,94,172,2,3,0,0
31,108,162,8,2,4,1
31,93,192,8,3,4,2
24,70,173,4,2,1,1
22,63,156,5,3,0,1
41,62,168,2,2,1,0
16,87,171,9,2,1,1
